Delta_t,tau_ft,tau_it,ustitft_ratio
30.00,0.131+/-0.001,0.086+/-0.001,0.812+/-0.007
60.00,0.133+/-0.001,0.085+/-0.001,0.798+/-0.008
120.00,0.134+/-0.001,0.086+/-0.001,0.803+/-0.008
300.00,0.134+/-0.001,0.087+/-0.001,0.805+/-0.011
600.00,0.134+/-0.002,0.087+/-0.002,0.804+/-0.014
