bin_N,ust,sigma_ust,tau,sigma_tau,tauex,sigma_tauex,zq,sigma_zq,Q,sigma_Q,Qhat,sigma_Qhat,fQ,sigma_fQ
1,0.308,0.005,0.116,0.003,0.006,0.021,0.108,0.008, 2.71,2.71,0.089,0.089,0.738,0.058
1,0.358,0.005,0.157,0.004,0.047,0.021,0.101,0.008, 7.98,4.98,0.261,0.165,0.841,0.058
3,0.452,0.005,0.250,0.005,0.140,0.021,0.114,0.005,20.83,2.88,0.681,0.114,0.923,0.048
4,0.468,0.003,0.267,0.003,0.158,0.021,0.099,0.004,28.11,3.04,0.919,0.132,0.971,0.029
3,0.481,0.004,0.282,0.005,0.172,0.021,0.108,0.005,30.43,2.88,0.995,0.133,0.964,0.033
1,0.503,0.006,0.309,0.007,0.199,0.022,0.109,0.008,39.20,4.98,1.282,0.203,1.000,0.058
1,0.525,0.006,0.336,0.007,0.227,0.022,0.113,0.008,44.74,4.98,1.463,0.214,1.000,0.058
1,0.549,0.007,0.367,0.009,0.258,0.023,0.111,0.008,44.75,4.98,1.463,0.214,0.999,0.058
1,0.588,0.007,0.422,0.009,0.313,0.023,0.104,0.008,57.25,4.98,1.872,0.241,1.000,0.058
