Dcorr	dMdlnDgr7cmLowUfr	dMdlnDgr7cmMedUfr	dMdlnDgr7cmHiUfr
114.564392373896	0.0199878993652033	0.0248849738240615	0
136.473440639562	0.166019641322972	0.0828451681798337	0.0954180709741668
162.397660081665	0.284376315192117	0.265513854978163	0.282669667102826
192.795228156716	1.60929154195111	1.48510509573968	1.53902821800107
229.128784747792	1.64857925864313	1.65690336359667	1.75060018220016
272.488531868774	1.59389220799259	1.71134349447033	1.61164792880659
324.249903623733	0.467439543834328	0.50935102945869	0.45718440119898
385.590456313431	0.0789600026425807	0.106146868973382	0.112968673569012
458.257569495584	0	0.0264354792560239	0.0190274590861555
531	0	0	0
