Dcorr	dMdlnDfullLowUfr	dMdlnDfullMedUfr	dMdlnDfullHiUfr
114.564392373896	0.0282389800597206	0.0171113098892643	0.00944643632291279
136.473440639562	0.115548682606272	0.095938703779778	0.0666139774662433
162.397660081665	0.24805331630967	0.212202382554602	0.18292958713545
192.795228156716	1.29204577693785	0.99549964676025	0.923649951870861
229.128784747792	1.37778044669441	1.48451350249115	1.39655510740564
272.488531868774	1.59586363296333	1.59870217817954	1.69066763284281
324.249903623733	0.763934237170959	0.812348671636332	0.815856798928404
385.590456313431	0.328307673051281	0.429351781805795	0.450587020405369
458.257569495584	0.0985541019039052	0.171217307573853	0.232575542107112
531	0.0202124239026286	0.0516591162684066	0.0996625464541523
