Dcorr	q0to1cm	q1to2cm	q2to4cm	q4to7cm	q7to13cm	q13to33cm
	kg/m2/s	kg/m2/s	kg/m2/s	kg/m2/s	kg/m2/s	kg/m2/s
114.564392373896	1.87992273462467E-4	2.59615130639807E-4	1.81371898927402E-4	7.39877805910161E-5	5.35759647269751E-5	6.00758604775674E-6
136.473440639562	0.00140094149820928	0.00112969186141545	0.00108988330489034	5.31936755475034E-4	2.59615130639807E-4	2E-5
162.397660081665	0.00297522626995921	0.0023991643529288	0.0023991643529288	0.00108988330489034	5.92365831703354E-4	6.40988148884692E-5
192.795228156716	0.0149434198998302	0.011216051635629	0.0108210648563063	0.00491575240088348	0.0026717142079166	3.58525458603917E-4
229.128784747792	0.0255917509090989	0.0185314755092668	0.0166410222011267	0.00703639157606842	0.00355959018006083	4E-4
272.488531868774	0.034324166501212	0.0240325580493324	0.0174377320514169	0.00620254608828458	0.00293420194068163	4.13142620642759E-4
324.249903623733	0.0231915619860675	0.014591166055594	0.00885870011126988	0.00212897224665721	9.37864289927653E-4	1.22964571295946E-4
385.590456313431	0.0168271280651863	0.00854850165284575	0.00404398932030141	6.11476822320305E-4	1.95442945850572E-4	2.56253614557138E-5
458.257569495584	0.0076815701324382	0.00350663045238512	0.00138806562759149	7.46569081431562E-5	7.20427031778862E-5	6.38190007620961E-6
531	0.00263663492216546	0.00104371037357785	3.84715779772944E-4	0	0	0
