Distance	P5Ufr032	P3Ufr027	P4Ufr032	P8Ufr030	P10Ufr038	P6Ufr037	P9Ufr038	P13Ufr047	P14Ufr063
0.117717204988003	6.8885846566623E-4	0.00164372817718888	0.00583700412197093	0.00466723856143976	0.011416947395171	0.0119988603837041	0.0139277191267191	0.0240596884864951	0.0603364841601702
0.144470804929733	7.42164197738885E-4	0.00160339306184793	0.0055539248624348	0.00478475825076727	0.0111367892179148	0.011416947395171	0.0150058292381184	0.0246655043407799	0.0634103280511018
0.165279194712639	6.08373095915537E-4	0.00134741072534441	0.00466723856143976	0.00402086970354835	0.0103368925050197	0.0103368925050197	0.0119988603837041	0.0212490735619368	0.0532868440974739
0.190621121227741	4.62881687938978E-4	9.75461201005914E-4	0.00337893626502874	0.00276981013463014	0.00712065591076459	0.00767167153310101	0.0092	0.0150058292381184	0.0358063456720745
0.217895297706127	4.74525985720032E-4	0.00102515609946227	0.00364040749636507	0.00298414553774655	0.0074834179274016	0.00767167153310101	0.00935879641441382	0.0165737200952144	0.0395475878996388
0.244797760248184	3.52176197498161E-4	7.42164197738885E-4	0.0024461889498207	0.00221472597895774	0.0055539248624348	0.00608	0.00660906464743811	0.0126101426650959	0.0293514796810583
0.277571350336075	3.52176197498161E-4	7.42164197738885E-4	0.00257081011501008	0.00216037926333312	0.00541763821660726	0.00602	0.00660906464743811	0.0123007049089504	0.0293514796810583
0.319857394695282	2.48702413589159E-4	5.37303908796189E-4	0.00190800715952809	0.00148819554459679	0.00412201910173562	0.00422571302424424	0.00490512410522646	0.00912914279037395	0.0207276468169899
0.357164105772972	2.74694522796829E-4	5.37303908796189E-4	0.00200521063819947	0.00156401170867966	0.00444099209370282	0.00444099209370282	0.00569377105109423	0.0095942272278619	0.0212490735619368
0.397294646501541	1.93985826710081E-4	3.9876772441369E-4	0.00145167701326404	0.00118998092540646	0.00337893626502874	0.00337893626502874	0.00373198594942681	0.00729978383909235	0.0169910414750734
0.447124055027962	1.51307341257077E-4	3.26881242441856E-4	0.00116078022267112	9.515245546679E-4	0.0027017801089824	0.0027017801089824	0.00291091819022669	0.00598384037822488	0.013252566739591
0.481569385528564	1.6301591274988E-4	3.35104299489072E-4	0.00121991620392419	0.00105094502826469	0.0027017801089824	0.00276981013463014	0.00305921499970398	0.00628868729542492	0.0135859496266224
0.524970424175262	1.36990357802751E-4	2.74694522796829E-4	9.75461201005914E-4	7.99613283164929E-4	0.00227049212537739	0.00227049212537739	0.0024461889498207	0.00528469588138726	0.0117044227605903
0.578775322437286	1.20984574104687E-4	2.30839433584199E-4	8.40349604476585E-4	7.23952379669964E-4	0.0019560051774079	0.0019560051774079	0.00216037926333312	0.00455271013252314	0.0100832375776155
0.63258022069931	1.15119792996648E-4	1.84582277372194E-4	7.06187457743953E-4	5.93444350801456E-4	0.00160339306184793	0.00164372817718888	0.00177092431134506	0.00382586815916236	0.00826551655366172
0.679548490047455	9.43669676870708E-5	1.84582277372194E-4	7.06187457743953E-4	5.93444350801456E-4	0.00156401170867966	0.00156401170867966	0.00168507796670317	0.00392220239011157	0.00806250505619224
0.730380588769913	7.17992652566915E-5	1.33628778948501E-4	5.5082037936733E-4	4.29625449964411E-4	0.00128206486941365	0.00121991620392419	0.00134741072534441	0.00305921499970398	0.00729978383909235
0.786266720294952	6.18543147569068E-5	1.15119792996648E-4	4.40433150515236E-4	3.9876772441369E-4	0.00110451088444444	0.00105094502826469	0.00116078022267112	0.00298414553774655	0.00583700412197093
0.848097914457321	4.59060578882483E-5	9.67408725121592E-5	3.52176197498161E-4	3.35104299489072E-4	9.28175284882969E-4	9.28175284882969E-4	1E-3	0.00238616241087949	0.0055539248624348
0.926874017715454	4.05424509543348E-5	7.54570808545774E-5	3.03396104292469E-4	2.67953849117141E-4	6.8885846566623E-4	7.79991733536344E-4	8.40349604476585E-4	0.0018154738594614	0.00541763821660726
1.00445798635483	3.58063456720745E-5	6.34103280511018E-5	2.4259955505275E-4	2.14259457029237E-4	6.23677390026554E-4	6.39381402613797E-4	6.55465744772272E-4	0.00160339306184793	0.00392220239011157
1.08561401367188	2.40596884864951E-5	4.82447433048853E-5	1.89225647500741E-4	1.71320763032516E-4	4.98700725474867E-4	5.11246090526817E-4	3.9876772441369E-4	0.00138130632356769	0.00346393712178846
1.16260199546814	2.28933843725606E-5	4.36807412886743E-5	1.71320763032516E-4	1.55113643783111E-4	4.86463208614235E-4	4.515231272406E-4	4.74525985720032E-4	0.00128206486941365	0.00313617291651299
1.23840894699097	1.39277191267191E-5	2.59220891565836E-5	1.12294891536062E-4	1.06851346660332E-4	2.95951128273647E-4	2.74694522796829E-4	3.03396104292469E-4	8.83161238828863E-4	0.00232760885111168
1.33234205245972	9.8358070374888E-6	1.50058292381184E-5	6.66407690059382E-5	4.15632979022696E-5	1.06851346660332E-4	1.47591042375173E-4	9.67408725121592E-5	3.61035576950667E-4	0.00118998092540646
1.43936101198196	1.05969284010067E-5	1.78566505632674E-5	8.33412480870367E-5	7.54570808545774E-5	2.14259457029237E-4	1.89225647500741E-4	2.08996974892022E-4	6.23677390026554E-4	0.00177092431134506
1.54280694723129	7.48341792740161E-6	1.42784149832231E-5	4.82447433048853E-5	5.32868440974739E-5	1.43969335453001E-4	1.27151064379788E-4	1.43969335453001E-4	4.86463208614235E-4	0.00148819554459679
1.65071704387665	2.63548166996187E-6	5.69377105109423E-6	4.94583928659945E-5	2.93514796810583E-5	1.06851346660332E-4	6.83171908192935E-5	1.24030929969088E-4	3.88982443378974E-4	0.00113229607011068
1.75594503879547	1.72746795563523E-6	4.55271013252314E-6	3.58063456720745E-5	2.40596884864951E-5	7.54570808545774E-5	5.32868440974739E-5	1.04229342942386E-4	2.95951128273647E-4	8.19728434447575E-4
1.8563360452652	--	3.46393712178846E-6	3.67070936651815E-5	1.61670209092137E-5	7.00357848665262E-5	--	1.04229342942386E-4	3.11035528643777E-4	8.61489522709873E-4
1.95704548358917	--	4.66723856143976E-6	3.40698326239866E-5	1.87663581309257E-5	7.17992652566915E-5	4.36807412886743E-5	8.54377888132235E-5	2.67953849117141E-4	8.83161238828863E-4
2.07643618583679	--	4.12201910173562E-6	2.40596884864951E-5	1.35859496266224E-5	4.59060578882483E-5	2.40596884864951E-5	6.66407690059382E-5	2.14259457029237E-4	7.06187457743953E-4
