Elevation	VertMFP5	VertMFP3	VertMFP4	VertMFP8	VertMFP10	VertMFP6	VertMFP9	VertMFP13	VertMFP14
0.005	0.00134227035935921	0.00963474001290798	0.0544302087599528	0.0337170833865165	0.158433858810186	0.186997155356607	0.220723208218286	0.39069243316727	0.878711884024154
0.015	9.10961452265913E-4	0.00397630784478582	0.0204875487509004	0.0228817902369932	0.0861965730982826	0.124591954858266	0.164244184061825	0.301640047148829	0.6784033752613
0.025	7.29659094661891E-4	0.00312694325411889	0.013400469049194	0.0255340673755215	0.117792869074953	0.0893572922304046	0.164103936890215	0.0785470719135631	0.845506596034025
0.035	4.60023481041474E-4	0.00274637603018652	0.00961125279041957	0.0149547790185612	0.0689874353366007	0.0477276443701278	0.0640870085378565	0.0664920924427976	0.368783940080395
0.045	4.11547530463294E-4	0.00193383759975727	0.00908698895125193	0.0103376065769202	0.0427002089288657	0.036175954602338	0.0552611603748929	0.0562911342945882	0.224092334020577
0.06	1.57728437099527E-4	0.00157728437099527	0.0074115663352576	0.00562237747630283	0.0259370154063093	0.0227992205615354	0.0341916453374086	0.045911343322725	0.179443610955888
0.08	1.51781905240229E-4	0.00106959656617418	0.0043373053706991	0.00521458798926663	0.0211451124951287	0.0189334605897266	0.0278746870342367	0.0273659166581877	0.126244364359211
0.1	1.28389645583456E-4	8.40446358869718E-4	0.00316606626281466	0.00340808172108186	0.0143387073176942	0.0148771588435034	0.0199765276163387	0.0169246618358988	0.0780764394839147
0.12	1.21294190382799E-4	5.59525649454868E-4	0.00178574729113505	0.00214694045734606	0.00808779249090534	0.0102761397072444	0.0119077580014414	0.0119074838183374	0.0359600262428472
0.14	9.01882583026838E-5	4.64654342208859E-4	0.00132782242812344	0.00132779185423414	0.0063553577136079	0.00659386422055639	0.00807495294024756	0.0102595898681494	0.0272351643275774
0.17	3.7854716671546E-5	2.30207781714561E-4	8.67261365498982E-4	0.00102357577764997	0.003581953964759	0.00438651885026554	0.00537180204241668	0.00567701445445564	0.0257110610750083
0.21	--	8.17956108372282E-5	3.44143839755454E-4	4.37260251260318E-4	0.00174068425092959	0.00180609254502664	0.00242504610596231	0.00256294921088665	0.00965450473769187
0.25	--	5.33764885872976E-5	1.41690260906177E-4	2.01066630489E-4	6.41711762603199E-4	8.00460673567012E-4	0.00117852825739843	0.00141690260906177	0.00265057440540955
0.33	--	1.72412996554931E-5	--	2.49212602213978E-5	2.11139748544998E-4	1.66176650129622E-4	1.96141729311471E-4	4.3308186666224E-4	6.86372697753959E-4
