Date,StartTime,EndTime,ust,sigma_ust,tau,sigma_tau,theta,zL,zq,sigma_zq,Q,sigma_Q,fQ
2015-05-29,15:22,15:52,0.176,0.005,0.038,0.002,  10.1,-0.173,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-29,15:52,16:22,0.165,0.005,0.033,0.002,  11.8,-0.189,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-29,16:22,16:52,0.168,0.005,0.035,0.002,  18.2,-0.147,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,10:10,10:40,0.169,0.007,0.035,0.003,  44.6,-0.236,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,10:40,11:10,0.173,0.006,0.037,0.003,  40.8,-0.276,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,11:10,11:40,0.171,0.006,0.036,0.003,  35.0,-0.280,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,11:40,12:10,0.174,0.006,0.037,0.003,  32.7,-0.278,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,12:10,12:40,0.187,0.007,0.043,0.003,  22.1,-0.253,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,12:40,13:10,0.138,0.009,0.023,0.003,   6.3,-0.668,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,13:10,13:40,0.167,0.008,0.034,0.003,   3.2,-0.390,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,13:40,14:10,0.174,0.006,0.037,0.002,   4.7,-0.297,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,14:10,14:40,0.177,0.006,0.038,0.002,   6.9,-0.283,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,14:40,15:10,0.178,0.005,0.039,0.002,   5.6,-0.248,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,15:10,15:40,0.165,0.005,0.033,0.002,   3.7,-0.307,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,15:40,16:10,0.159,0.006,0.031,0.002,  13.4,-0.337,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,16:10,16:40,0.167,0.007,0.034,0.003,   4.0,-0.253,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,16:40,17:10,0.178,0.005,0.039,0.002,  -7.6,-0.172,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,17:10,17:40,0.163,0.005,0.032,0.002,   1.2,-0.171,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-30,17:40,18:10,0.159,0.005,0.031,0.002,  -4.8,-0.137,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,10:03,10:33,0.121,0.007,0.018,0.002,  25.0,-0.289,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,10:33,11:03,0.130,0.006,0.021,0.002,  27.9,-0.258,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,11:03,11:33,0.117,0.009,0.017,0.003,   8.5,-0.414,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,11:33,12:03,0.107,0.011,0.014,0.003,   2.0,-0.860,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,12:03,12:33,0.089,0.016,0.010,0.004,   NaN,-1.265,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,12:33,13:03,0.062,0.027,0.005,0.004,  78.4,-4.471,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,13:03,13:33,0.151,0.006,0.028,0.002,  19.7,-0.381,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,13:33,14:03,0.166,0.006,0.034,0.003,  14.1,-0.272,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,14:03,14:33,0.189,0.005,0.043,0.002,   6.9,-0.193,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,14:33,15:03,0.174,0.005,0.037,0.002,  10.5,-0.281,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,15:03,15:33,0.145,0.008,0.026,0.003,  10.0,-0.526,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,15:33,16:03,0.113,0.009,0.016,0.003,  12.3,-1.056,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,16:03,16:33,0.119,0.009,0.017,0.003,  10.4,-0.865,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,16:33,17:03,0.156,0.006,0.030,0.002,   4.9,-0.385,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,17:03,17:33,0.157,0.006,0.030,0.002,   3.7,-0.299,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,17:33,18:03,0.169,0.005,0.035,0.002,   4.7,-0.203,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,18:03,18:33,0.176,0.005,0.038,0.002,  -1.1,-0.151,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-31,18:33,19:03,0.174,0.005,0.037,0.002,   6.2,-0.120,  NaN,  NaN,  NaN, NaN,  NaN
2015-06-01,10:33,11:03,0.163,0.006,0.032,0.002,  49.2,-0.332,0.000,0.000, 0.00,0.00,0.000
2015-06-01,11:03,11:33,0.148,0.008,0.027,0.003,  50.1,-0.504,0.000,0.000, 0.00,0.00,0.000
2015-06-01,11:33,12:03,0.156,0.007,0.030,0.003,  52.3,-0.403,0.000,0.000, 0.00,0.00,0.000
2015-06-01,12:03,12:33,0.154,0.008,0.029,0.003,  47.8,-0.491,0.000,0.000, 0.00,0.00,0.000
2015-06-01,12:33,13:03,0.184,0.007,0.041,0.003,  31.2,-0.328,0.000,0.000, 0.00,0.00,0.000
2015-06-01,13:03,13:33,0.240,0.007,0.070,0.004,  25.6,-0.180,0.000,0.000, 0.00,0.00,0.000
2015-06-01,13:33,14:03,0.296,0.007,0.107,0.005,  14.8,-0.095,0.057,0.005, 0.81,0.10,0.272
2015-06-01,14:03,14:33,0.289,0.007,0.102,0.005,  12.3,-0.094,0.065,0.006, 0.66,0.08,0.242
2015-06-01,15:00,15:30,0.171,0.007,0.036,0.003,  47.3,-0.342,  NaN,  NaN,  NaN, NaN,  NaN
2015-06-02,11:54,12:24,0.366,0.006,0.164,0.005,  -5.9,-0.046,0.055,0.003, 9.44,1.13,0.901
2015-06-02,12:24,12:54,0.356,0.006,0.154,0.005,  -3.5,-0.052,0.057,0.004, 7.73,0.92,0.867
2015-06-02,13:17,13:47,0.296,0.006,0.107,0.004,   4.8,-0.087,0.073,0.007, 0.23,0.02,0.191
2015-06-02,13:47,14:17,0.383,0.006,0.179,0.006,  -0.7,-0.046,0.060,0.004,15.20,1.59,0.973
2015-06-02,14:28,14:58,0.420,0.006,0.215,0.006,   3.4,-0.033,0.059,0.003,23.35,2.37,1.000
2015-06-02,14:58,15:28,0.473,0.006,0.273,0.007,  -0.5,-0.022,0.058,0.003,31.17,3.17,1.000
2015-06-02,15:37,16:07,0.517,0.007,0.326,0.009,  -4.5,-0.017,0.060,0.003,27.89,2.85,1.000
2015-06-02,16:13,16:43,0.500,0.007,0.305,0.008,  -6.7,-0.016,0.055,0.003,29.80,3.12,1.000
2015-06-02,16:49,17:19,0.476,0.007,0.276,0.009,  -8.6,-0.015,0.051,0.002,34.16,3.66,1.000
2015-06-02,17:27,17:57,0.446,0.007,0.242,0.008, -13.9,-0.014,0.048,0.002,30.55,3.34,0.999
2015-06-03,10:40,11:10,0.088,0.026,0.009,0.006,  78.4,-1.864,0.000,0.000, 0.00,0.00,0.000
2015-06-03,11:10,11:40,0.157,0.010,0.030,0.004,  21.5,-0.398,0.000,0.000, 0.00,0.00,0.000
2015-06-03,11:40,12:10,0.183,0.008,0.041,0.004,   5.8,-0.267,0.000,0.000, 0.00,0.00,0.000
2015-06-03,12:10,12:40,0.265,0.006,0.085,0.004,  -5.4,-0.123,0.000,0.000, 0.00,0.00,0.000
2015-06-03,12:40,13:10,0.319,0.006,0.124,0.005,  -6.1,-0.078,0.051,0.004, 1.13,0.16,0.253
2015-06-03,13:10,13:40,0.333,0.006,0.135,0.005,   0.2,-0.065,0.050,0.003, 9.42,1.28,0.728
2015-06-03,13:52,14:22,0.390,0.006,0.186,0.005,   4.0,-0.042,0.049,0.002,31.36,4.02,1.000
2015-06-03,14:44,15:14,0.426,0.006,0.221,0.006,   4.5,-0.031,0.052,0.003,36.09,4.52,1.000
2015-06-03,15:20,15:50,0.398,0.006,0.193,0.006,   7.6,-0.033,0.052,0.003,34.06,4.24,1.000
2015-06-03,15:56,16:26,0.394,0.008,0.189,0.008,  -3.3,-0.033,0.055,0.003,18.51,2.23,0.833
2015-06-03,16:32,17:02,0.411,0.006,0.206,0.006,  -2.8,-0.024,0.053,0.003,24.71,3.00,0.995
2015-06-03,17:07,17:37,0.390,0.006,0.185,0.006,  -0.5,-0.024,0.054,0.003,20.59,2.43,0.962
2015-06-03,17:43,18:13,0.335,0.006,0.137,0.005,  -2.5,-0.028,0.060,0.004, 8.31,0.96,0.742
2015-06-04,11:21,11:51,0.249,0.006,0.076,0.004,  -0.6,-0.079,0.000,0.000, 0.00,0.00,0.000
2015-06-04,11:51,12:21,0.322,0.006,0.127,0.005,  -8.4,-0.054,0.080,0.011, 0.26,0.04,0.185
2015-06-04,12:21,12:51,0.336,0.006,0.138,0.005,  -7.3,-0.059,0.073,0.009, 1.95,0.31,0.406
2015-06-04,12:51,13:21,0.303,0.005,0.112,0.004,   1.6,-0.079,0.000,0.000, 0.00,0.00,0.000
2015-06-04,13:21,13:51,0.282,0.005,0.097,0.004,   8.7,-0.096,0.000,0.000, 0.00,0.00,0.000
2015-06-04,13:51,14:21,0.270,0.005,0.089,0.003,  16.5,-0.122,0.000,0.000, 0.00,0.00,0.000
2015-06-04,14:21,14:51,0.241,0.005,0.071,0.003,  21.4,-0.154,0.000,0.000, 0.00,0.00,0.000
