Hour,Minute,Second,u,v,w,T,diag
16,10,2.16,7.477251,2.107,-0.024,14.61002,0
16,10,2.18,7.1835,2.01375,-0.05125,14.73019,0
16,10,2.2,7.333,1.89375,0.10225,14.78436,0
16,10,2.22,7.265501,1.11325,0.1725,14.94351,0
16,10,2.24,7.26675,1.31575,0.178,14.85886,0
16,10,2.26,6.97225,1.916,0.00575,15.17557,0
16,10,2.28,6.84675,1.9025,0.10875,15.07562,0
16,10,2.3,6.933001,2.2175,0.017,15.36536,0
16,10,2.32,7.238,1.93625,0.062,15.43823,0
16,10,2.34,7.43075,1.536,-0.15825,15.32635,0
16,10,2.36,7.850501,1.69725,0.21075,15.70605,0
16,10,2.38,7.420001,1.64825,0.179,15.7637,0
16,10,2.4,6.471,2.39525,0.7535,16.29645,0
16,10,2.42,6.711,1.774,0.5625,16.0249,0
16,10,2.44,7.83625,1.63525,0.50925,16.01306,0
16,10,2.46,6.835001,1.9875,0.54625,16.07581,0
16,10,2.48,6.92575,1.848,0.2215,15.52972,0
16,10,2.5,7.153501,1.517,-0.244,15.49585,0
16,10,2.52,7.29925,1.11975,-0.3275,15.1976,0
16,10,2.54,6.984251,1.757,0.14325,15.60092,0
16,10,2.56,6.29625,1.5705,0.1525,15.74673,0
16,10,2.58,6.2145,1.199,-0.285,15.51617,0
16,10,2.6,6.3825,2.897,-0.361,15.77896,0
16,10,2.62,7.300251,1.8325,-0.0595,15.56363,0
16,10,2.64,7.291,2.095,0.09125,15.41785,0
16,10,2.66,7.5105,1.9745,0.39075,15.26535,0
16,10,2.68,7.0265,2.14325,0.07175,15.04004,0
16,10,2.7,7.02825,2.90825,0.6115,14.67261,0
16,10,2.72,6.97675,2.37575,0.29325,13.80161,0
16,10,2.74,7.32075,1.955,0.09975,13.7222,0
16,10,2.76,7.077,1.9885,-0.12525,13.54984,0
16,10,2.78,7.14,1.63225,-0.33425,13.41977,0
16,10,2.8,7.0965,1.69475,-0.21325,13.43329,0
16,10,2.82,7.173,1.58275,-0.19475,13.40967,0
16,10,2.84,7.742001,1.4335,-0.08000001,13.85907,0
16,10,2.86,7.31,2.0875,0.0775,13.86249,0
16,10,2.88,7.54125,1.781,-0.11375,14.23444,0
16,10,2.9,7.6775,1.817,-0.22175,13.93005,0
16,10,2.92,7.320251,1.7055,-0.1075,13.7475,0
16,10,2.94,7.23525,1.66125,-0.1635,13.96725,0
16,10,2.96,6.941751,1.482,-0.12925,14.25638,0
16,10,2.98,6.76775,1.37725,-0.03325,14.3782,0
16,10,3,6.851,1.3985,0.067,14.56265,0
16,10,3.02,6.359,1.407,0.08975001,14.6286,0
16,10,3.04,6.180501,1.2075,0.19375,14.3782,0
16,10,3.06,6.42275,0.9685,-0.025,14.17862,0
16,10,3.08,6.824501,1.21,0.2245,14.53049,0
16,10,3.1,6.717751,1.2275,0.358,14.35794,0
16,10,3.12,6.356,1.3305,0.395,14.74542,0
16,10,3.14,6.14425,1.188,0.56825,14.99771,0
16,10,3.16,5.90425,1.21925,0.5385,14.48819,0
16,10,3.18,6.64525,1.498,0.07125001,14.27332,0
16,10,3.2,6.29175,1.28175,0.05775,14.40356,0
16,10,3.22,6.1175,2.06275,0.3025,15.11118,0
16,10,3.24,6.01175,1.8175,0.424,15.32465,0
16,10,3.26,5.40275,2.427,-0.1545,15.38568,0
16,10,3.28,6.0275,1.755,0.18575,15.58398,0
16,10,3.3,6.0735,1.85075,0.62875,16.03168,0
16,10,3.32,5.02525,1.5475,0.43175,15.97403,0
16,10,3.34,5.42125,1.3845,-0.063,15.17896,0
16,10,3.36,5.22275,1.3795,0.05575,15.52972,0
16,10,3.38,5.31275,1.8955,-0.10175,15.68909,0
16,10,3.4,5.47075,2.146,0.30175,16.00629,0
16,10,3.42,4.55375,2.357,0.172,16.03683,0
16,10,3.44,6.12525,1.13375,0.516,16.21332,0
16,10,3.46,5.9295,1.572,0.19275,16.26251,0
16,10,3.48,6.38375,2.449,0.35975,15.20944,0
16,10,3.5,6.39675,2.08575,0.2425,14.8013,0
16,10,3.52,6.80825,1.54675,0.421,15.27213,0
16,10,3.54,6.3305,2.00575,0.3555,15.63315,0
16,10,3.56,5.9915,2.0555,0.41875,16.16232,0
16,10,3.58,5.7875,2.19575,0.5782501,16.62076,0
16,10,3.6,5.829,2.66425,0.35175,15.5704,0
16,10,3.62,5.9295,2.928,0.55375,15.63315,0
16,10,3.64,6.487751,2.2245,0.74475,15.68231,0
16,10,3.66,6.0365,1.68225,1.12525,15.87732,0
16,10,3.68,5.9155,1.696,0.81625,15.65689,0
16,10,3.7,6.70025,1.8635,0.92975,15.56198,0
16,10,3.72,6.3745,2.3505,0.76775,15.37042,0
16,10,3.74,6.20175,2.10025,0.12125,15.70099,0
16,10,3.76,5.4705,1.32725,-0.05525,15.91125,0
16,10,3.78,7.153,1.527,0.26675,15.26706,0
16,10,3.8,6.9315,1.4415,0.0295,15.05023,0
16,10,3.82,7.0105,1.5355,0.13975,15.00449,0
16,10,3.84,6.3125,1.66,0.06975,15.28061,0
16,10,3.86,6.242,2.0095,-0.05725,15.61447,0
16,10,3.88,5.73325,2.14175,-0.21325,15.7298,0
16,10,3.9,6.425,1.469,0.35275,15.96045,0
16,10,3.92,6.6235,2.248,-0.1535,16.01306,0
16,10,3.94,7.188,2.576,-0.15025,16.92651,0
16,10,3.96,7.035,2.82975,0.493,16.85687,0
16,10,3.98,5.858,3.00675,0.50775,16.94009,0
16,10,4,6.21625,2.85425,0.55375,16.59695,0
16,10,4.02,5.538,2.3355,1.03675,16.73453,0
16,10,4.04,5.3645,2.6515,0.51625,16.86026,0
16,10,4.06,5.0115,1.99125,0.55825,17.15253,0
16,10,4.08,5.76375,2.4235,0.784,17.19336,0
16,10,4.1,5.5745,2.2895,0.27475,16.66318,0
16,10,4.12,5.557,2.01225,0.43125,16.51715,0
16,10,4.14,5.81325,2.3255,0.08925001,16.49506,0
16,10,4.16,5.93175,1.89875,0.29,16.6326,0
16,10,4.18,5.91925,1.1695,0.4515,16.76004,0
16,10,4.2,5.397,1.84,0.6447501,17.29538,0
16,10,4.22,6.693,2.3755,0.9465001,16.37622,0
16,10,4.24,6.44275,2.36775,0.76775,16.4798,0
16,10,4.26,6.672,2.68075,0.84575,16.21667,0
16,10,4.28,6.192,2.3095,0.501,16.73117,0
16,10,4.3,6.81775,1.74675,0.6995,16.7634,0
16,10,4.32,6.0295,1.49925,0.723,16.77359,0
16,10,4.34,6.099,1.90375,0.5745,16.74808,0
16,10,4.36,6.2355,1.8615,0.80875,16.2048,0
16,10,4.38,6.0355,1.639,1.16225,16.34399,0
16,10,4.4,5.63575,1.20425,0.95575,16.81949,0
16,10,4.42,5.3775,1.176,0.6715,16.48999,0
16,10,4.44,5.8645,1.059,0.15825,16.14032,0
16,10,4.46,6.001,1.472,0.52275,15.91977,0
16,10,4.48,5.72775,2.2025,0.01625,15.92142,0
16,10,4.5,5.6795,2.5355,0.2305,16.25403,0
16,10,4.52,6.09625,2.93975,0.24425,16.07074,0
16,10,4.54,6.40725,2.21725,0.41825,16.34229,0
16,10,4.56,6.2745,1.7625,0.701,16.34229,0
16,10,4.58,5.9735,1.98825,0.4415,16.59525,0
16,10,4.6,6.747251,2.04625,0.05775,16.4628,0
16,10,4.62,6.47425,2.06675,0.19125,16.35248,0
16,10,4.64,6.22025,3.29475,0.12225,16.0589,0
16,10,4.66,6.994,2.71875,0.35025,16.24893,0
16,10,4.68,6.41775,2.65075,0.13375,15.7739,0
16,10,4.7,6.4585,2.578,-0.16125,16.19803,0
16,10,4.72,6.26475,2.35775,-0.05125,15.90787,0
16,10,4.74,6.82125,2.6825,-0.16325,14.88425,0
16,10,4.76,7.186,1.89075,0.05125,15.21451,0
16,10,4.78,6.60825,2.122,0,15.36536,0
16,10,4.8,6.905251,2.30275,-0.44725,15.30264,0
16,10,4.82,6.628,2.4145,-0.37975,15.1264,0
16,10,4.84,6.25,2.564,-0.25325,15.58566,0
16,10,4.86,6.2785,2.46825,0.5545,16.10464,0
16,10,4.88,6.7505,1.86225,0.30775,15.88416,0
16,10,4.9,5.557,2.847,0.795,15.89938,0
16,10,4.92,6.45725,2.40375,0.50125,15.22977,0
16,10,4.94,6.39725,2.90475,1.0085,14.73187,0
16,10,4.96,6.61175,2.76975,0.55175,15.24503,0
16,10,4.98,7.32925,2.73575,0.19375,15.54501,0
16,10,5,7.08525,3.21425,-0.0565,15.16711,0
16,10,5.02,6.9325,1.7315,0.101,15.44666,0
16,10,5.04,6.12675,2.53375,0.2435,15.82477,0
16,10,5.06,6.13575,2.0465,-0.039,15.63651,0
16,10,5.08,6.0245,2.07525,-0.15,15.99777,0
16,10,5.1,5.78875,2.03675,0.24625,15.84512,0
16,10,5.12,5.9405,2.46225,0.2745,15.92654,0
16,10,5.14,5.9485,2.10975,0.07225,16.03683,0
16,10,5.16,6.21525,2.3955,0.26525,16.41864,0
16,10,5.18,6.672,1.807,0.71375,16.46964,0
16,10,5.2,6.06325,1.783,0.92375,16.62076,0
16,10,5.22,5.76375,1.14575,0.73625,16.52734,0
16,10,5.24,5.25275,1.79275,0.2935,16.6496,0
16,10,5.26,6.1535,2.13675,-0.01575,16.05038,0
16,10,5.28,5.3115,2.05375,0.09775001,15.72812,0
16,10,5.3,5.12775,0.8987501,-0.0295,15.77222,0
16,10,5.32,5.8355,1.488,-0.055,15.80951,0
16,10,5.34,5.76475,2.53,0.38825,15.71625,0
16,10,5.36,6.76025,2.8805,0.45925,15.34332,0
16,10,5.38,6.544,3.2195,0.7695,15.5806,0
16,10,5.4,6.14075,2.2495,0.7225,15.87225,0
16,10,5.42,6.52575,2.877,0.37475,15.83328,0
16,10,5.44,6.469,2.53175,0.54025,16.17255,0
16,10,5.46,6.4405,3.126,0.8717501,16.53751,0
16,10,5.48,6.76975,2.03475,0.84975,16.61053,0
16,10,5.5,5.54875,2.37625,0.74625,16.16919,0
16,10,5.52,5.6415,2.53525,0.6425,15.81458,0
16,10,5.54,6.9335,2.04625,0.702,16.15897,0
16,10,5.56,6.261,2.057,1.6315,16.45264,0
16,10,5.58,5.75375,1.63175,0.1935,15.92654,0
16,10,5.6,5.423,1.754,0.1365,15.98251,0
16,10,5.62,6.07775,1.7455,0.309,16.30322,0
16,10,5.64,5.67825,2.09875,0.11825,16.59695,0
16,10,5.66,5.36,2.23325,0,16.93503,0
16,10,5.68,5.334,1.32175,-0.29625,16.70395,0
16,10,5.7,5.09375,0.99225,-0.10775,16.91629,0
16,10,5.72,4.907,0.536,0.19,16.9877,0
16,10,5.74,5.07175,1.46325,0.19775,17.12537,0
16,10,5.76,5.075,0.868,-0.0075,17.17636,0
16,10,5.78,5.24525,2.34775,-0.0385,17.17978,0
16,10,5.8,5.962,1.7295,0.32,17.28345,0
16,10,5.82,5.72475,2.029,0.2625,16.04868,0
16,10,5.84,5.9755,2.014,0.368,16.02325,0
16,10,5.86,5.71725,2.3405,0.5875,16.04532,0
16,10,5.88,5.203,3.007,0.36125,16.50186,0
16,10,5.9,5.94225,2.17725,0.6845,16.04868,0
16,10,5.92,5.60375,1.757,1.34375,15.88922,0
16,10,5.94,6.6655,2.97575,-0.108,15.70099,0
16,10,5.96,7.513751,2.53625,0.649,16.31512,0
16,10,5.98,6.689,2.364,0.876,16.03683,0
16,10,6,7.2745,2.65475,0.4925,15.37549,0
16,10,6.02,7.59225,2.2135,0.44975,15.367,0
16,10,6.04,6.69475,3.18075,0.42825,15.28568,0
16,10,6.06,6.491,2.65625,0.13975,15.3399,0
16,10,6.08,7.00475,2.85425,0.185,15.39417,0
16,10,6.1,6.71325,2.1435,0.2025,15.64502,0
16,10,6.12,7.23375,1.56,-0.27475,14.61172,0
16,10,6.14,7.0265,1.38725,-0.3675,14.72174,0
16,10,6.16,7.20625,0.8240001,-0.33325,14.98752,0
16,10,6.18,7.035501,1.1605,0.48675,15.1976,0
