Dcorr	gr4cmCorrFactAll	gr7cmCorrFactAll
114.564392373896	1.00328412364256	1.22115483982441
136.473440639562	0.727823580909291	0.807769946234355
162.397660081665	0.76772798496451	0.772539410628256
192.795228156716	0.748653517670568	0.693050060286231
229.128784747792	0.818671248201303	0.842321856922779
272.488531868774	0.991856979103096	0.993562957829111
324.249903623733	1.53789588082555	1.66818790445289
385.590456313431	2.87209276067083	4.05349078372952
458.257569495584	6.10684872458672	11.0495926990888
531	17.4182989307863	NaN
